attendance_pct,study_hours,previous_pct,internal_marks,mid_term_marks,project_marks,viva_marks,performance_category
99.2,4.1,55.8,20.0,25.8,20.0,7.0,Excellent
86.3,5.6,56.3,14.8,20.9,14.4,7.5,Good
51.9,8.1,52.8,8.0,21.6,14.0,8.1,Average
40.3,4.6,42.3,8.9,17.2,7.0,5.9,Needs Improvement
88.9,6.6,41.0,20.0,17.6,20.0,4.5,Good
82.4,8.8,94.3,13.8,30.0,14.5,10.0,Excellent
83.7,9.5,63.5,18.8,21.7,20.0,5.9,Good
86.3,2.3,61.1,19.3,17.0,16.9,4.9,Good
44.4,9.3,77.4,8.6,26.6,11.7,8.0,Average
61.5,5.4,52.0,13.4,23.2,13.8,8.4,Average
47.0,3.3,92.2,13.3,30.0,14.7,9.4,Good
91.8,5.1,83.2,16.0,27.6,16.5,8.3,Excellent
77.4,9.8,44.9,14.2,21.6,19.0,6.9,Good
59.9,5.4,63.0,10.8,23.3,16.8,6.9,Average
43.8,4.0,88.4,7.5,30.0,6.5,9.1,Average
58.7,6.7,92.0,10.5,28.6,16.6,5.6,Good
59.5,3.2,65.7,9.5,22.7,10.7,6.4,Average
83.8,1.7,73.7,15.6,25.7,12.2,7.7,Good
78.3,2.2,49.2,13.2,18.5,9.9,4.5,Average
93.2,2.2,94.5,17.5,28.9,15.1,8.6,Excellent
68.3,2.4,52.7,10.1,21.1,12.4,6.1,Average
47.2,2.2,91.9,10.7,19.7,10.6,7.7,Average
82.8,6.8,75.7,17.1,29.4,20.0,9.9,Excellent
85.6,2.6,73.4,11.9,21.5,9.0,5.9,Average
73.7,4.1,68.2,14.8,17.8,14.8,5.3,Average
86.3,9.1,52.7,18.4,25.0,17.8,7.2,Good
69.6,5.3,49.7,11.0,23.8,13.6,6.5,Average
71.4,7.0,52.1,17.0,21.2,19.9,6.5,Good
65.7,2.6,50.3,13.7,20.5,12.3,5.4,Average
41.5,2.7,82.9,7.8,30.0,3.9,7.4,Average
46.5,1.4,59.3,9.9,22.9,10.1,7.3,Average
41.9,2.5,43.2,10.4,20.7,11.7,6.8,Needs Improvement
78.2,3.5,93.3,14.9,30.0,15.3,7.7,Good
58.9,2.6,88.6,12.9,27.5,15.1,8.8,Good
70.5,1.8,91.0,11.7,22.4,9.2,6.0,Average
94.5,2.1,94.7,17.5,27.6,16.9,8.2,Excellent
55.0,5.1,49.6,8.4,17.0,13.4,6.1,Average
64.6,2.9,61.8,12.5,27.2,8.9,7.8,Average
85.3,4.3,81.7,14.0,26.3,15.0,8.0,Good
53.7,5.5,78.3,9.6,27.4,11.0,7.3,Average
44.6,7.2,48.5,12.2,22.5,14.7,6.4,Average
57.4,1.4,84.9,13.8,25.4,13.2,7.2,Average
49.7,8.2,52.3,11.7,27.7,14.1,7.2,Average
95.8,6.7,52.3,15.2,19.5,15.3,5.7,Good
88.5,1.7,69.5,15.6,22.4,14.1,5.0,Good
78.0,8.9,72.6,17.1,26.0,17.1,7.0,Good
92.3,9.3,71.9,17.1,24.4,17.4,6.8,Excellent
88.2,1.5,45.0,20.0,13.7,18.3,4.2,Average
51.2,3.5,88.3,11.5,27.7,9.8,7.7,Average
93.6,8.3,54.6,17.4,22.0,20.0,6.4,Good
72.4,7.7,47.1,13.2,18.9,16.8,6.2,Average
88.4,2.7,88.9,16.5,23.1,11.7,7.7,Good
93.8,2.9,92.6,16.8,28.2,14.1,7.4,Good
59.1,4.3,87.4,13.3,23.8,16.3,5.7,Good
46.6,5.4,84.5,11.9,30.0,11.6,7.5,Average
53.7,6.6,76.0,9.5,27.5,11.6,7.4,Average
65.6,4.3,70.3,10.2,19.7,12.6,5.6,Average
89.1,5.2,44.8,12.7,17.4,15.5,4.6,Average
91.6,7.7,62.5,17.8,22.5,18.6,5.3,Good
40.4,1.3,60.5,6.9,20.1,6.4,5.6,Needs Improvement
70.6,3.3,54.3,9.3,23.2,13.3,7.0,Average
65.0,7.4,79.8,13.5,23.3,19.4,7.4,Good
53.3,9.1,67.3,16.0,27.4,20.0,7.3,Good
47.2,5.6,44.5,10.1,18.1,12.6,5.1,Average
60.3,5.8,52.1,13.7,22.7,13.5,5.7,Average
96.6,2.0,77.6,17.6,24.6,13.9,7.1,Good
59.4,5.0,44.2,11.7,15.8,14.3,4.1,Average
71.1,5.8,86.8,15.5,28.4,17.2,8.7,Good
82.2,3.2,67.2,14.7,20.0,17.0,4.2,Good
61.8,3.4,66.4,12.8,25.6,14.3,7.0,Average
98.3,4.4,72.6,18.4,24.7,14.5,7.5,Good
97.7,1.2,85.4,16.3,30.0,16.2,8.7,Excellent
55.1,3.9,59.1,13.3,20.7,11.6,8.9,Average
69.8,2.9,77.3,13.1,22.5,12.2,7.0,Average
58.1,3.9,71.1,10.2,19.4,12.0,4.8,Average
57.1,2.1,54.7,12.6,12.9,16.1,4.1,Average
42.2,9.0,88.3,7.5,27.5,18.9,6.1,Good
76.6,6.3,83.9,14.5,29.8,17.2,8.4,Good
70.2,7.1,76.2,13.5,29.3,15.4,7.5,Good
43.1,8.1,86.8,11.6,26.4,16.1,8.5,Good
56.7,5.5,87.7,12.5,30.0,15.8,8.0,Good
94.5,1.8,79.0,17.1,22.7,14.4,6.6,Good
54.4,5.8,86.0,12.8,29.6,18.0,7.8,Good
48.7,6.3,78.4,13.1,30.0,15.4,10.0,Good
69.4,7.7,77.4,14.5,30.0,17.8,8.2,Good
99.1,4.9,74.0,17.9,24.6,18.8,9.0,Excellent
54.5,2.1,81.4,8.6,22.4,10.1,7.4,Average
80.3,3.6,48.7,12.9,11.6,14.9,4.4,Average
85.7,4.3,88.4,15.2,26.4,14.0,8.0,Good
54.3,6.8,88.0,9.9,29.8,11.9,8.8,Good
83.7,6.1,41.6,15.2,15.4,14.1,2.9,Average
62.1,4.2,85.4,12.4,27.3,14.1,7.6,Good
77.9,9.9,47.1,15.8,22.9,20.0,7.6,Good
78.0,6.5,58.4,14.6,22.1,17.0,6.5,Good
72.1,3.1,80.9,14.8,23.8,17.6,5.5,Good
45.4,1.9,48.8,9.9,17.2,10.1,5.3,Needs Improvement
90.1,2.4,85.0,12.6,27.5,13.6,9.6,Good
59.2,3.2,85.8,10.0,23.7,8.8,8.2,Average
51.2,2.4,67.9,10.4,26.2,10.0,7.5,Average
42.4,2.7,40.4,6.9,14.9,9.9,5.7,Needs Improvement
75.5,3.6,55.8,15.5,19.9,16.7,5.6,Average
80.7,2.6,73.9,18.2,25.7,15.7,5.7,Good
41.0,9.1,94.0,11.6,30.0,15.4,7.6,Good
70.7,1.7,74.7,13.2,25.9,9.2,9.0,Average
53.6,5.7,54.3,14.0,22.0,14.5,6.2,Average
78.7,4.7,74.9,15.1,23.6,17.2,6.7,Good
50.5,9.8,69.7,9.9,29.4,16.0,8.0,Good
81.5,2.0,82.9,14.0,21.9,14.0,8.4,Good
63.2,4.6,45.9,11.9,18.5,13.2,7.2,Average
96.2,9.7,81.9,16.7,30.0,19.5,10.0,Excellent
48.3,8.8,69.8,10.6,26.8,13.4,7.6,Average
60.5,8.4,93.0,12.4,30.0,17.1,8.8,Good
46.8,3.3,58.8,10.0,14.7,11.9,3.2,Needs Improvement
95.5,2.5,74.8,18.2,22.1,17.2,8.0,Good
92.6,7.0,91.3,19.3,30.0,18.7,7.3,Excellent
55.5,9.4,45.6,13.2,22.4,12.6,6.8,Average
79.6,6.0,91.5,12.0,27.6,16.2,6.8,Good
89.0,6.1,77.8,11.2,30.0,12.6,7.9,Good
73.3,3.5,43.7,15.9,14.2,13.5,3.7,Average
71.8,7.9,56.6,11.0,26.4,15.9,7.0,Good
54.5,2.7,78.9,10.7,26.2,10.3,7.0,Average
45.6,3.9,43.7,7.5,15.1,11.7,4.2,Needs Improvement
93.8,4.8,72.0,13.5,30.0,15.6,9.3,Good
94.0,5.6,59.0,18.2,18.6,19.4,4.6,Good
78.0,3.2,74.2,16.2,26.8,12.5,7.9,Good
60.3,2.0,42.5,10.9,18.3,13.3,6.8,Average
61.0,6.5,87.9,7.0,28.2,11.3,7.5,Good
83.6,3.6,93.5,14.4,30.0,13.5,7.8,Good
93.8,6.2,93.3,17.9,30.0,18.5,8.3,Excellent
93.2,2.4,81.2,14.0,26.1,9.7,8.7,Good
86.8,5.3,47.2,16.4,19.8,17.5,6.2,Good
78.5,5.8,81.7,14.7,27.7,13.7,7.4,Good
45.0,1.5,41.4,10.9,16.9,7.8,5.7,Needs Improvement
49.7,4.0,41.2,10.7,18.9,8.9,4.6,Needs Improvement
93.9,2.2,57.8,15.1,14.0,16.1,5.2,Average
76.4,1.6,66.9,16.9,24.9,13.5,7.6,Good
40.6,9.9,82.4,8.8,26.5,17.1,7.3,Good
46.1,3.9,77.6,9.9,28.6,10.2,7.3,Average
79.8,8.3,64.5,13.1,29.1,12.7,7.4,Good
40.3,3.3,55.0,8.2,16.1,7.5,5.6,Needs Improvement
49.6,7.1,94.8,8.7,30.0,14.8,9.7,Good
72.9,7.8,63.4,13.6,21.8,15.9,5.8,Good
81.5,6.4,64.8,18.7,23.7,17.8,7.4,Good
79.1,5.2,49.0,12.1,18.5,14.0,3.5,Average
53.5,4.7,83.7,7.8,30.0,11.3,7.9,Average
82.7,4.1,78.2,18.4,29.8,19.6,8.4,Excellent
54.2,9.4,52.1,10.7,27.7,18.0,7.0,Good
59.5,8.5,44.5,10.6,19.2,13.8,4.9,Average
84.8,9.7,77.4,17.8,29.5,17.6,7.7,Excellent
79.0,2.1,76.0,13.6,18.6,12.0,6.0,Average
91.0,7.6,55.0,20.0,20.4,20.0,5.9,Good
79.5,9.4,92.3,16.3,30.0,17.1,6.3,Excellent
74.1,2.6,48.3,13.1,22.0,10.9,4.4,Average
45.6,1.6,63.8,14.2,16.5,13.6,4.5,Average
62.1,7.7,91.9,11.1,30.0,14.3,9.0,Good
55.9,6.2,63.1,12.9,23.6,14.8,4.2,Average
54.6,8.6,75.1,11.8,29.5,13.9,7.9,Good
98.4,2.3,61.9,20.0,17.8,16.9,4.9,Good
63.6,8.2,55.1,15.7,24.6,16.0,8.5,Good
93.5,2.8,94.1,17.1,27.4,17.4,7.5,Excellent
77.9,2.5,62.5,13.2,20.6,14.8,6.5,Average
87.7,2.5,89.2,17.1,28.9,11.7,8.4,Good
70.2,8.3,52.6,12.2,22.8,13.7,4.6,Average
74.6,7.0,51.7,18.2,20.2,16.0,6.8,Good
69.6,5.7,41.7,13.7,17.7,13.7,5.6,Average
51.7,4.2,75.8,10.0,25.1,11.4,7.8,Average
83.3,8.9,60.3,15.9,24.1,15.5,10.0,Good
56.8,4.5,87.5,8.8,27.7,9.1,5.8,Average
41.5,8.3,66.0,7.3,30.0,10.1,10.0,Average
78.7,5.0,93.3,17.2,30.0,17.4,8.2,Excellent
50.6,4.4,50.2,9.3,18.2,11.3,5.8,Average
96.4,5.2,87.8,15.4,30.0,14.4,8.5,Excellent
97.2,3.7,82.7,18.7,25.6,17.6,7.0,Excellent
94.9,7.7,82.4,19.6,30.0,19.3,7.9,Excellent
62.2,5.5,86.5,13.8,30.0,14.4,8.8,Good
40.9,3.1,81.9,11.1,25.6,15.0,5.9,Average
95.7,9.1,74.4,15.8,30.0,20.0,9.3,Excellent
65.7,4.5,47.2,10.0,13.7,9.1,4.0,Needs Improvement
98.0,5.9,41.8,20.0,14.8,20.0,3.6,Good
97.8,9.2,90.6,17.0,29.4,20.0,7.9,Excellent
91.2,6.6,73.9,16.2,27.2,15.0,9.1,Excellent
57.7,2.1,83.8,14.3,30.0,14.9,8.0,Good
63.1,9.5,66.5,13.6,30.0,20.0,8.9,Good
91.1,6.6,46.5,17.6,21.8,16.0,5.7,Good
59.0,4.0,46.9,16.2,19.4,13.9,6.6,Average
50.2,2.3,77.7,9.2,18.8,11.9,6.4,Average
73.4,8.1,63.7,15.9,23.8,18.5,8.8,Good
96.2,6.6,51.0,17.5,18.7,19.3,5.5,Good
81.8,5.8,67.0,15.8,22.5,17.2,7.3,Good
74.2,9.0,43.5,17.2,20.6,20.0,6.3,Good
45.8,8.1,72.0,10.9,26.1,11.8,8.8,Average
76.9,2.4,54.8,15.6,12.7,16.4,3.4,Average
99.4,3.8,83.9,20.0,29.3,20.0,9.1,Excellent
48.4,3.2,57.1,9.5,16.6,10.2,5.0,Needs Improvement
71.1,7.7,65.0,12.0,26.1,14.9,7.5,Good
92.6,1.3,40.6,14.8,20.4,10.1,6.2,Average
84.4,6.1,44.0,11.7,16.1,14.9,5.3,Average
81.8,7.9,61.6,19.4,17.1,20.0,5.2,Good
82.1,8.9,66.4,13.1,25.9,16.4,7.7,Good
61.6,4.1,73.0,11.8,27.8,15.0,9.5,Good
57.6,8.4,56.0,11.1,29.6,14.1,9.4,Good
88.6,2.0,78.2,16.9,20.5,16.2,7.0,Good
88.6,8.6,87.3,17.9,30.0,17.7,8.0,Excellent
92.0,2.1,82.9,18.5,24.0,16.2,6.1,Good
94.8,4.6,42.2,16.1,16.9,15.6,6.2,Good
70.7,8.2,66.4,13.3,30.0,16.6,9.4,Good
70.1,2.3,45.8,14.1,11.8,12.5,5.4,Average
87.9,3.1,53.3,15.7,19.5,14.6,5.3,Average
79.0,7.5,94.3,18.1,30.0,20.0,8.3,Excellent
82.1,7.5,47.8,16.3,24.2,17.0,5.4,Good
87.7,6.8,67.4,17.6,25.6,15.2,7.0,Good
93.4,7.2,74.0,18.3,28.2,20.0,9.1,Excellent
60.3,5.9,78.6,14.4,26.2,18.4,7.1,Good
62.5,3.3,70.8,12.7,24.1,10.3,7.7,Average
45.6,4.1,40.5,7.3,15.4,10.9,4.7,Needs Improvement
74.7,2.6,58.0,15.0,21.5,13.1,6.7,Average
42.2,9.2,68.5,8.0,26.4,13.6,6.4,Average
67.9,6.3,44.8,12.1,20.3,14.8,6.2,Average
72.6,4.6,59.3,15.1,21.4,14.8,3.4,Average
57.2,5.2,41.8,14.1,21.0,13.4,6.1,Average
75.4,9.5,44.3,14.4,21.5,16.4,4.8,Good
41.8,2.4,61.8,9.9,15.0,8.5,6.0,Needs Improvement
42.2,6.3,47.3,12.7,23.6,13.0,7.7,Average
89.4,5.6,71.2,16.9,22.5,17.0,7.1,Good
61.6,6.5,77.9,17.4,25.7,16.7,9.0,Good
47.6,1.2,84.0,11.3,23.2,12.0,5.8,Average
71.3,8.8,51.0,10.2,27.0,17.4,9.5,Good
86.2,9.4,49.2,17.4,16.4,18.7,6.0,Good
52.9,6.1,45.8,11.7,28.7,14.3,7.9,Average
77.4,7.3,75.0,17.2,30.0,19.4,9.6,Excellent
45.1,9.3,78.9,11.1,30.0,16.3,7.4,Good
43.1,7.4,41.7,9.2,19.2,13.0,5.0,Average
71.9,2.4,91.5,11.3,28.6,12.8,7.5,Good
72.4,6.2,42.9,13.4,20.2,16.1,5.5,Average
78.2,6.5,69.8,13.0,27.5,12.5,6.8,Good
83.6,4.8,79.0,14.4,28.3,16.7,9.3,Good
98.6,7.6,87.9,19.0,30.0,20.0,8.2,Excellent
71.0,9.4,79.3,17.0,29.8,18.0,8.8,Excellent
59.4,9.3,84.1,12.7,30.0,16.6,7.9,Good
87.7,5.1,58.7,13.8,21.1,16.0,4.5,Good
56.2,2.0,84.8,12.3,29.2,11.4,8.6,Average
66.3,9.9,44.4,15.3,23.8,20.0,5.0,Good
44.7,8.6,89.2,8.5,23.3,17.8,6.8,Good
41.5,2.1,70.1,9.0,24.2,8.0,5.7,Average
97.8,9.3,85.0,17.7,30.0,17.2,10.0,Excellent
90.2,8.8,64.9,15.0,26.2,18.4,8.5,Excellent
81.8,5.7,75.4,16.6,25.2,18.4,7.4,Good
64.5,6.3,69.0,12.4,28.7,14.0,9.4,Good
50.4,4.6,80.2,11.4,29.6,15.6,7.5,Good
49.4,1.5,44.5,8.6,13.0,6.3,4.8,Needs Improvement
55.0,4.0,43.3,10.4,18.3,13.1,5.8,Average
73.0,8.2,53.6,15.4,20.1,16.5,6.3,Good
82.9,1.0,48.8,14.7,11.9,16.3,5.2,Average
79.6,4.0,87.9,18.4,26.3,20.0,8.3,Excellent
56.8,4.6,52.1,10.7,22.3,10.7,6.9,Average
97.3,5.8,93.7,18.0,30.0,17.0,6.8,Excellent
84.3,9.3,58.5,17.5,26.6,20.0,6.7,Excellent
73.3,4.1,50.0,11.2,21.0,11.5,6.1,Average
76.7,4.1,83.4,11.0,28.7,12.1,8.3,Good
65.2,7.6,76.2,9.7,26.2,13.4,6.4,Good
54.9,5.1,67.4,13.8,25.2,10.8,9.7,Average
61.4,3.0,70.5,11.1,25.5,11.6,8.9,Average
85.5,5.1,79.6,20.0,29.2,17.7,8.9,Excellent
40.9,2.3,52.6,8.0,21.5,8.0,6.5,Needs Improvement
47.0,2.6,94.8,10.4,30.0,13.7,8.3,Average
42.8,5.5,93.6,12.5,30.0,11.5,7.5,Good
42.4,4.8,75.8,13.4,29.0,15.9,8.3,Good
91.3,9.2,51.0,20.0,23.1,20.0,7.0,Excellent
82.2,4.3,77.4,17.7,23.1,16.4,5.5,Good
68.5,6.2,44.0,15.3,18.5,18.0,6.0,Average
45.9,6.7,41.7,11.1,16.5,14.4,5.0,Average
69.5,1.1,54.2,15.0,15.4,14.3,2.9,Average
68.4,7.0,65.4,12.2,24.5,16.6,6.3,Good
50.4,2.6,87.8,8.9,24.6,9.1,6.7,Average
66.0,9.6,80.0,12.9,29.8,15.6,10.0,Good
63.9,2.3,80.8,12.2,19.4,9.8,6.4,Average
77.0,4.7,63.4,13.6,23.3,12.7,5.5,Average
78.1,1.8,59.0,16.1,19.2,20.0,6.3,Good
42.7,10.0,60.4,11.3,23.6,18.4,5.4,Average
62.5,5.5,94.3,12.5,30.0,11.4,9.6,Good
77.6,6.4,42.2,17.6,21.5,15.5,5.9,Good
70.2,1.6,87.7,11.2,21.4,11.8,6.3,Average
91.4,7.7,71.8,16.3,24.9,19.2,8.5,Excellent
79.5,2.9,64.1,13.5,19.0,14.3,4.5,Average
49.8,9.1,79.9,6.7,27.4,11.7,6.5,Average
44.2,2.8,66.8,9.5,24.5,10.1,6.5,Average
78.5,2.7,88.0,14.5,26.6,14.5,8.7,Good
41.6,1.3,89.5,12.3,25.7,11.6,5.9,Average
75.1,5.2,63.2,15.5,17.0,11.6,2.4,Average
96.4,6.1,55.2,15.4,23.6,16.0,6.4,Good
74.5,1.6,72.6,17.9,18.7,13.8,6.2,Average
63.3,8.0,90.2,14.9,30.0,17.6,9.7,Excellent
78.6,5.1,51.6,16.0,20.8,20.0,5.7,Good
67.5,5.7,74.3,12.7,30.0,15.0,8.1,Good
72.7,5.0,74.7,12.0,21.7,12.7,7.6,Good
96.5,4.6,80.3,16.7,17.7,18.3,3.6,Good
63.2,6.0,47.2,14.7,20.2,16.8,5.7,Average
97.7,2.4,79.4,20.0,30.0,18.3,8.7,Excellent
94.3,2.6,90.0,20.0,30.0,18.8,8.9,Excellent
51.7,8.8,49.9,9.8,23.1,18.2,6.3,Average
44.2,9.5,53.1,7.4,22.4,10.6,6.6,Average
46.0,4.4,93.4,10.2,30.0,12.7,6.0,Average
41.1,3.4,50.0,5.6,15.3,6.1,4.2,Needs Improvement
45.7,6.8,87.0,10.5,30.0,14.5,9.0,Good
81.0,4.7,67.1,14.9,25.0,13.4,6.3,Good
44.3,1.2,53.6,8.7,20.6,8.0,6.2,Needs Improvement
59.1,2.4,87.9,8.7,30.0,8.9,8.9,Average
90.7,7.4,64.5,17.6,26.3,20.0,7.2,Excellent
41.4,6.9,68.3,8.1,24.1,13.7,7.2,Average
88.9,1.2,59.8,14.0,18.9,10.0,4.8,Average
56.9,3.0,72.6,5.8,18.2,8.0,5.4,Needs Improvement
47.1,3.1,49.0,10.0,15.6,9.4,5.5,Needs Improvement
81.8,7.0,61.5,18.8,22.8,16.9,6.9,Good
77.7,1.2,93.3,18.0,25.7,14.9,6.8,Good
92.6,1.9,54.2,16.0,18.6,13.7,5.9,Average
84.1,8.2,76.1,14.4,26.1,20.0,8.2,Excellent
88.2,2.6,57.9,17.2,22.9,16.4,4.7,Good
56.9,6.9,82.5,9.5,29.1,10.0,9.4,Good
50.6,3.1,47.2,11.2,17.3,10.6,5.0,Needs Improvement
85.0,1.9,93.3,17.3,26.9,17.3,8.1,Good
88.4,3.2,65.0,18.7,22.3,20.0,7.8,Good
99.4,7.5,53.0,17.7,24.7,15.7,5.8,Good
64.8,8.7,44.0,12.3,18.4,12.1,4.9,Average
62.3,8.5,49.3,10.6,20.1,18.2,5.7,Average
86.6,4.6,68.6,14.3,22.9,15.6,5.9,Good
60.4,7.0,58.5,11.6,19.2,12.6,7.5,Average
95.8,2.8,85.6,18.1,24.2,17.5,6.2,Good
91.5,3.6,63.7,18.6,20.4,11.9,5.5,Good
65.7,9.1,53.7,11.3,26.3,15.3,7.8,Good
85.1,1.1,73.9,18.7,23.2,16.4,5.6,Good
85.3,1.8,78.9,15.2,24.7,15.6,6.8,Good
46.2,2.9,49.2,9.9,20.1,8.6,6.4,Needs Improvement
94.2,1.2,49.2,15.6,15.9,13.9,4.6,Average
70.3,2.6,42.0,8.7,16.8,7.8,5.1,Needs Improvement
89.6,6.2,80.5,18.2,27.8,19.0,7.4,Excellent
59.2,4.8,76.5,13.4,26.8,12.4,6.2,Average
93.7,9.0,66.1,16.5,25.0,18.2,7.6,Excellent
63.4,8.4,86.4,12.6,24.0,13.9,8.7,Good
40.7,4.1,84.3,10.1,26.9,12.8,7.8,Average
94.3,3.3,72.2,14.0,28.0,15.5,8.2,Good
45.5,4.4,87.8,8.8,30.0,10.3,9.2,Average
59.2,6.3,51.3,13.5,23.8,15.3,5.7,Average
97.0,3.4,46.2,15.0,21.0,11.7,7.9,Good
97.0,6.6,54.8,18.1,22.3,18.1,6.8,Good
74.4,4.7,43.1,11.4,18.1,12.7,7.2,Average
77.9,6.0,69.2,15.6,23.2,20.0,6.1,Good
66.9,4.9,91.5,13.0,28.9,11.8,10.0,Good
57.6,3.7,42.2,8.4,18.3,13.0,6.4,Average
59.7,9.5,46.7,14.3,25.9,19.7,8.0,Good
80.4,7.9,64.9,13.6,25.1,16.8,7.5,Good
85.1,2.3,91.4,14.2,26.3,16.8,7.3,Good
87.5,8.8,57.4,16.5,24.4,19.6,8.3,Excellent
87.4,5.4,67.9,18.4,26.1,18.9,7.7,Good
45.5,9.1,42.3,7.8,16.5,12.8,3.2,Needs Improvement
69.7,8.2,48.2,13.6,14.7,18.9,3.6,Average
43.5,4.8,94.3,10.4,28.8,14.4,8.0,Good
73.0,1.2,93.1,15.3,23.6,12.2,7.2,Good
66.5,3.4,40.3,13.3,14.3,10.7,4.5,Average
93.3,5.9,92.3,16.3,30.0,16.5,9.7,Excellent
61.1,6.7,75.2,10.5,25.8,11.8,5.5,Average
47.0,3.3,87.7,10.2,30.0,11.0,8.6,Average
48.6,2.3,65.0,8.1,22.0,11.5,4.7,Average
85.7,8.5,68.4,10.0,27.8,13.2,8.7,Good
77.1,9.9,66.9,15.4,29.5,18.6,8.3,Excellent
46.1,5.7,76.7,11.7,23.3,13.8,7.3,Average
45.0,2.5,47.7,5.0,20.1,8.7,5.2,Needs Improvement
82.1,3.5,41.6,13.3,15.9,8.9,6.3,Average
44.4,1.2,56.9,10.9,20.2,9.1,7.1,Needs Improvement
89.3,9.2,78.8,20.0,26.9,20.0,8.3,Excellent
82.4,2.1,51.1,15.4,12.8,16.4,4.1,Average
44.9,6.2,77.0,8.3,29.7,10.5,9.0,Average
